guid_oks,full_name,tip_oks,vid_stoi,f_name,sost_oks,stad_oks,sost_zem,name_tep,znach_tep,tep_oks,address_oks,region,mun_obr,latit_oks,longit_oks,create_date,zpo_n,zpo_k,ird_n,ird_k,pir_st,pir_fn,smr_st,smr_fn,plan_vvod,rol_org,zak_inn,zak_kpp,resp_mail
5415dbd1-38ce-4ee4-8712-76d3255780b0,Строительство сетей водоснабжения в п. Новый Кременкуль. Наружные сети водоснабжения.,Линейный объект,Строительство линейных объектов,03.04.003.099 Прочие объекты,СМР,СМР,Свободна,Протяженность линейного ОКС,1500,метров,п. Новый Кременкуль,Челябинская область,Сосновский муниципальный район,"55,190071","61,16976",21.03.2023,02.10.2022,11.11.2022,09.01.2023,20.02.2023,30.03.2023,30.09.2023,21.04.2025,01.06.2026,01.07.2026,Заказчик,7438002100,746001001,sidyakin.88@internet.ru
f3e4ab25-4b38-4a26-8856-1ab3c2b8235d,"Строительство объекта ""Газопровод низкого давления к жилым домам поселка Ленинский Сосновского муниципального района""",Линейный объект,Строительство линейных объектов,"08.05.001.010 Сооружение трубопровода, 08.05.001.010 Сооружение трубопровода",СМР,СМР,Свободна,Протяженность газопровода низкого давления,"5159,5",м,п. Ленинский,Челябинская область,Сосновский муниципальный район,"55,013623","60,973504",17.08.2023,10.04.2024,15.06.2024,15.07.2024,20.09.2024,10.10.2024,01.02.2025,15.04.2025,30.04.2026,31.08.2026,Заказчик,7438002100,746001001,sidyakin.88@internet.ru
bb9d6f05-6692-42a8-940a-681cb0adad5a,"Выполнение работ по объекту: ""Строительство подводящего газопровода высокого давления 2-й категории к поселку Вязовая и селу Тюбеляс Усть-Катавского городского округа Челябинской области, в том числе проектно-изыскательские работы"".",Линейный объект,Строительство линейных объектов,12.01.006.001 Линейное сооружение сети газоснабжения,ПИР,Подготовка ПД,"Свободна, не передана",Протяженность линейного ОКС,29000,м,с. Тюбеляс,Челябинская область,Усть-Катавский,"54,978964","58,480574",04.07.2024,01.04.2024,01.10.2024,01.04.2024,01.11.2024,01.04.2024,05.09.2025,31.12.2025,01.10.2026,20.10.2026,Заказчик,7419005200,745701001,galyaeva.gala@yandex.ru
c0e89a73-ccd8-4452-b9a8-ec4b8eba13fa,"""Строительство здания Муниципального казенного учреждения культуры ""Октябрьский историко краеведческий музей"" Октябрьского муниципального района, в том числе проектно-изыскательские работы.",Линейный объект,Строительство линейных объектов,02.01.004.003 Здание музея,СМР,СМР,Свободна,Посетители,150,чел,с. Октябрьское,Челябинская область,Октябрьский муниципальный район,"54,407921","62,725303",09.07.2024,14.06.2022,29.01.2023,23.06.2022,04.10.2022,07.12.2023,16.07.2024,01.03.2024,24.12.2025,12.10.2026,Заказчик,7437001093,743001001,oktober-ing@mail.ru
980b296f-78b1-4aa5-a75e-880bd5021d40,"Выполнение строительно-монтажных работ по строительству объекта: «Физкультурно-оздоровительный комплекс с универсальным игровым залом 42*24 м и плавательным бассейном 25*11 м» по адресу: Челябинская область, г. Катав-Ивановск, ул. Степана Разина, 41»","ОКС, (за исключением линейных)","Строительство ОКС, не являющийся линейным или ОКН",03.04.002.001 Здание спортивного комплекса,СМР,СМР,Свободна,Количество этажей,3-4,,"г. Катав-Ивановск, ул. Степана Разина",Челябинская область,Катав-Ивановский муниципальный район,"54,753498","58,207601",19.08.2024,31.05.2022,08.10.2022,03.06.2022,11.10.2022,18.12.2023,01.07.2024,07.08.2024,31.12.2026,31.12.2026,Заказчик,7410005894,745701001,uprstroi11@mail.ru
c81587cf-3ef8-45cd-8ff5-581de4e6e4d0,"Выполнение подрядных работ по строительству объекта «Крытый ледовый каток с искусственным льдом по адресу: Челябинская область Сосновский район с. Кременкуль, ул.Ленина дом 12В»","ОКС, (за исключением линейных)","Строительство ОКС, не являющийся линейным или ОКН",03.04.002.003 Крытый ледовый каток,СМР,СМР,"Свободна, передана",Площадь застройки,"4811,60",м^2,"с. Кременкуль, ул.Ленина дом 12В",Челябинская область,Сосновский муниципальный район,"55,186895","61,154729",19.08.2024,01.01.2023,10.04.2023,21.05.2023,20.08.2023,20.09.2023,02.03.2024,10.04.2025,01.12.2027,01.12.2027,Заказчик,7438002100,746001001,admin@chelsosna.ru
d78a9289-efcc-4c48-9d3b-9d5af66adb5a,«Магистральные сети теплоснабжения микрорайона 16 «А». Второй этап»,Линейный объект,Строительство линейных объектов,12.01.001.001 Линейное сооружение сети теплоснабжения,ПИР,Проведение ИИ,"Свободна, не передана",Протяженность линейного ОКС,~843,м,Микрорайон 16А,Челябинская область,Снежинский,"56,069525","60,743759",27.09.2024,01.07.2024,01.08.2024,01.09.2024,31.10.2024,01.11.2024,05.09.2025,13.02.2026,02.11.2026,18.12.2026,Заказчик,7423015057,745901001,coys02@yandex.ru
c5ec175f-d2b9-40ed-a8a9-e85130409e86,Автомобильная дорога по ул. Октябрьская на участке от проспекта Неплюева до ул. Сибирской в г. Троицке Челябинской области,Линейный объект,Реконструкция линейных объектов,"04.01.001.002 Дорога, улица в границах населенного пункта",СМР,СМР,"Свободна, передана",Протяженность линейного ОКС,"3,1",км,Улица Октябрьская,Челябинская область,Троицкий,"54,08065","61,55869",27.09.2024,24.07.2022,31.10.2022,02.06.2022,18.04.2023,11.10.2016,08.06.2018,30.06.2022,01.11.2026,02.11.2026,Заказчик,7418020703,742401001,tsk2016uks@mail.ru
2e87fbda-8075-4a7f-813a-cc4937c38f93,"Выполнение строительно-монтажных работ  по объекту: ""Физкультурно-оздоровительный комплекс в г. Усть-Катав""","ОКС, (за исключением линейных)","Строительство ОКС, не являющийся линейным или ОКН",03.04.002. Спортивные и оздоровительные объекты,СМР,СМР,"Свободна, передана","1479,7 м2","49,85 кВт;14,63 м3/сут; 683,32 кВт","1972,7 м2","г. Усть-Катав, ул Социалистическая,29",Челябинская область,Усть-Катавский,"54,931723","58,172435",27.09.2024,02.09.2021,20.12.2024,01.09.2020,01.04.2021,19.04.2021,24.01.2022,12.09.2024,01.12.2025,01.02.2026,Заказчик,7419005200,745701001,galyaeva.gala@yandex.ru
34b26df8-4aeb-4774-ae1c-805a89f270de,"Реконструкция здания МОУ «Петропавловская СОШ», 
расположенного по адресу: Верхнеуральский район, п. Петропавловский, ул. Школьная, 1 «В»","ОКС, (за исключением линейных)","Реконструкция ОКС, не являющийся линейным или ОКН",02.03.002.003 Здание средней школы,СМР,СМР,Передана условно,Места,325,мест,"п. Петропавловский, ул. Школьная, 1 «В»",Челябинская область,Верхнеуральский муниципальный район,"54,013469","60,098685",27.09.2024,29.06.2022,11.10.2022,12.02.2020,09.11.2022,12.02.2020,09.11.2022,13.10.2023,30.04.2026,30.04.2026,Заказчик,7429009860,745501001,myyiois@mail.ru
